,RMSE mean,RMSE standard deviation,Hyperparameters
39,0.0432667936702792,0.000984856296219608,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.0125, 'max_depth': 5, 'gamma': 0.02, 'subsample': 0.7}"
40,0.04309598103852556,0.0009159787756668592,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.0125, 'max_depth': 5, 'gamma': 0.01, 'subsample': 0.7}"
41,0.042961035892637486,0.0008926096136649661,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.0125, 'max_depth': 5, 'gamma': 0.02, 'subsample': 0.6}"
42,0.0427516298406899,0.0009330652801286576,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.0125, 'max_depth': 5, 'gamma': 0.01, 'subsample': 0.6}"
43,0.042711902348537924,0.0009238854166762321,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.0125, 'max_depth': 5, 'gamma': 0.02, 'subsample': 0.5}"
44,0.04238813610960244,0.0009182318796086819,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.0125, 'max_depth': 5, 'gamma': 0.01, 'subsample': 0.5}"
45,0.041144448261179925,0.0008217433097903463,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.025, 'max_depth': 3, 'gamma': 0.04, 'subsample': 0.7}"
46,0.04094154701822007,0.0007943995778833522,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.025, 'max_depth': 3, 'gamma': 0.04, 'subsample': 0.6}"
47,0.04090885035535681,0.000770518414057583,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.025, 'max_depth': 3, 'gamma': 0.02, 'subsample': 0.7}"
48,0.04084114161935239,0.0007563269155923946,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.025, 'max_depth': 3, 'gamma': 0.01, 'subsample': 0.7}"
49,0.040640181948928225,0.0007341936045533616,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.025, 'max_depth': 3, 'gamma': 0.04, 'subsample': 0.5}"
50,0.04061543888863781,0.000758251483878887,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.025, 'max_depth': 3, 'gamma': 0.02, 'subsample': 0.6}"
51,0.04053982803239072,0.0007434373624008102,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.025, 'max_depth': 3, 'gamma': 0.01, 'subsample': 0.6}"
52,0.04021533137521014,0.0006435352801986009,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.1, 'max_depth': 5, 'gamma': 0.04, 'subsample': 0.7}"
53,0.04018021312849692,0.0007102004824182593,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.025, 'max_depth': 3, 'gamma': 0.02, 'subsample': 0.5}"
54,0.040163927479206565,0.00074520262584843,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.025, 'max_depth': 3, 'gamma': 0.01, 'subsample': 0.5}"
55,0.040140482870192916,0.0007273495887592768,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.1, 'max_depth': 5, 'gamma': 0.04, 'subsample': 0.5}"
56,0.040045540555973244,0.0006487103924762847,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.1, 'max_depth': 5, 'gamma': 0.04, 'subsample': 0.6}"
57,0.039591883212257956,0.0008314939752773964,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.025, 'max_depth': 5, 'gamma': 0.04, 'subsample': 0.5}"
58,0.03943997463395912,0.0008299159525448265,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.025, 'max_depth': 5, 'gamma': 0.04, 'subsample': 0.6}"
59,0.03942878280072394,0.0007867232942903501,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.05, 'max_depth': 5, 'gamma': 0.04, 'subsample': 0.5}"
60,0.03936593852815269,0.0007757597405690474,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.025, 'max_depth': 5, 'gamma': 0.04, 'subsample': 0.7}"
61,0.03934970790643187,0.0007652685586252462,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.05, 'max_depth': 5, 'gamma': 0.04, 'subsample': 0.6}"
62,0.03931613377471918,0.0006863200087036501,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.05, 'max_depth': 5, 'gamma': 0.04, 'subsample': 0.7}"
63,0.039272742265081664,0.0005992750678228393,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.1, 'max_depth': 4, 'gamma': 0.04, 'subsample': 0.5}"
64,0.03917960219992087,0.0006918662553278421,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.025, 'max_depth': 4, 'gamma': 0.04, 'subsample': 0.5}"
65,0.039039881087969124,0.0006268985994132882,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.1, 'max_depth': 4, 'gamma': 0.04, 'subsample': 0.6}"
66,0.039013973071059145,0.0007147480755425355,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.025, 'max_depth': 4, 'gamma': 0.04, 'subsample': 0.6}"
67,0.03898119291501752,0.0008391256747894574,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.1, 'max_depth': 4, 'gamma': 0.04, 'subsample': 0.7}"
68,0.038959039043695395,0.0006949920938777867,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.05, 'max_depth': 2, 'gamma': 0.04, 'subsample': 0.5}"
69,0.03894640166572359,0.0006725371529091799,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.05, 'max_depth': 2, 'gamma': 0.04, 'subsample': 0.6}"
70,0.038935173757689526,0.0008066282613183181,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.025, 'max_depth': 4, 'gamma': 0.04, 'subsample': 0.7}"
71,0.03890551105825629,0.0005714005519577238,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.05, 'max_depth': 2, 'gamma': 0.04, 'subsample': 0.7}"
72,0.038731941584302015,0.0006202277694549403,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.05, 'max_depth': 4, 'gamma': 0.04, 'subsample': 0.5}"
73,0.0386826982459585,0.0006620300533703546,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.05, 'max_depth': 4, 'gamma': 0.04, 'subsample': 0.6}"
74,0.03856777035243535,0.000669711358554986,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.05, 'max_depth': 4, 'gamma': 0.04, 'subsample': 0.7}"
75,0.03846549734984761,0.0006094499379164457,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.05, 'max_depth': 2, 'gamma': 0.02, 'subsample': 0.7}"
76,0.03844031113372754,0.0006205054015753961,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.05, 'max_depth': 2, 'gamma': 0.01, 'subsample': 0.7}"
77,0.038410091116745614,0.0006545522137839904,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.1, 'max_depth': 2, 'gamma': 0.04, 'subsample': 0.5}"
78,0.03838720204050035,0.000595158392183184,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.1, 'max_depth': 2, 'gamma': 0.04, 'subsample': 0.6}"
79,0.03834609108393515,0.0008491575965942276,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.1, 'max_depth': 3, 'gamma': 0.04, 'subsample': 0.6}"
80,0.038344148874058105,0.0006354207076913026,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.1, 'max_depth': 3, 'gamma': 0.04, 'subsample': 0.5}"
81,0.03834137492310656,0.0005823276327162157,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.05, 'max_depth': 3, 'gamma': 0.04, 'subsample': 0.5}"
82,0.038290301629665006,0.0005687640286813388,"{'objective': 'reg:squarederror', 'eval_metric': 'rmse', 'seed': 315, 'learning_rate': 0.05, 'max_depth': 2, 'gamma': 0.02, 'subsample': 0.6}"
